iter	best_pop	best_loss	best_acc	avg_fitness
171	15	2.3064	0.1452	0.1049
172	6	2.3022	0.1246	0.0989
173	10	2.3036	0.115	0.1011
174	2	2.3082	0.1182	0.1049
175	4	2.3053	0.1218	0.0986
176	15	4.9803	0.1346	0.1037
177	15	2.3004	0.1414	0.0993
178	17	2.3033	0.1284	0.1038
179	2	2.3026	0.116	0.0963
180	2	2.3552	0.1254	0.1026
181	12	2.336	0.1426	0.1033
182	19	2.3037	0.1468	0.1047
183	3	2.3011	0.1482	0.0994
184	10	2.3054	0.1128	0.0972
185	8	2.3091	0.1126	0.0964
186	12	2.3013	0.123	0.0952
187	15	2.3035	0.1314	0.1001
188	17	2.3024	0.1314	0.1011
189	0	2.3022	0.117	0.0993
190	19	2.3022	0.1272	0.1042
191	13	2.306	0.1262	0.0996
192	13	2.3025	0.127	0.0967
193	15	2.3013	0.1222	0.0972
194	18	2.303	0.13	0.1029
195	18	2.3039	0.1178	0.0975
196	16	2.2997	0.1318	0.0997
197	13	2.3047	0.1198	0.0949
198	15	2.4058	0.1238	0.1021
199	3	2.3017	0.1104	0.097
200	7	2.3024	0.1266	0.1023
iter	best_pop	best_loss	best_acc	avg_fitness
1	6	2.3024	0.1368	0.1002
2	58	2.3011	0.1292	0.1014
3	95	2.3024	0.1388	0.1017
4	70	2.3028	0.138	0.0998
5	63	2.3007	0.1316	0.1008
6	6	2.3012	0.1312	0.099
7	78	2.3161	0.1496	0.0994
8	6	2.3009	0.1408	0.1017
9	48	2.3013	0.1456	0.0999
10	27	2.3033	0.1428	0.1002
11	90	2.3009	0.1476	0.1002
12	81	2.3016	0.1446	0.1004
13	33	2.3013	0.1458	0.1017
14	82	2.3018	0.13	0.0986
15	90	2.3029	0.133	0.0986
16	2	2.3023	0.1338	0.0995
17	41	2.3045	0.1256	0.0995
18	88	2.3021	0.1484	0.1018
19	13	2.3636	0.1342	0.1006
20	84	2.3026	0.134	0.0997
21	64	2.3316	0.1364	0.0995
22	95	2.3679	0.1336	0.0995
23	78	2.3029	0.141	0.0994
24	89	2.3006	0.1404	0.1029
25	18	2.3018	0.1228	0.0973
26	20	2.3003	0.1532	0.101
27	69	2.3022	0.1404	0.1012
28	61	2.3011	0.149	0.1012
29	48	2.3009	0.1376	0.0999
30	99	2.2988	0.1334	0.0992
iter	best_pop	best_loss	best_acc	avg_fitness
1	8	2.3037	0.1326	0.1009
2	81	2.3022	0.1368	0.1
3	13	2.3025	0.1464	0.1012
4	33	2.3028	0.1364	0.0992
5	63	2.3006	0.1386	0.1003
6	65	2.6189	0.1468	0.1011
7	89	2.3017	0.1468	0.1006
8	98	2.3017	0.1306	0.0992
9	13	2.3025	0.1264	0.0993
10	29	2.3032	0.1574	0.0995
11	20	2.3025	0.1254	0.1
12	94	2.2997	0.1642	0.1008
13	22	2.3027	0.1368	0.1017
14	69	2.4197	0.1424	0.1011
15	3	2.3025	0.1288	0.1015
16	47	3.4536	0.1332	0.0987
17	90	2.3044	0.1284	0.1
18	77	3.2336	0.145	0.1009
19	51	2.3024	0.1342	0.1015
20	67	2.3018	0.1332	0.0994
21	78	2.3005	0.1304	0.101
22	13	2.3025	0.1396	0.1019
23	76	2.3868	0.1396	0.1001
24	62	2.2989	0.1254	0.0995
25	13	2.3002	0.1412	0.0997
26	43	2.2977	0.1336	0.1002
27	51	2.3015	0.1356	0.1003
28	12	2.3009	0.139	0.1009
29	57	2.3013	0.1522	0.1008
30	51	2.3023	0.1368	0.1014
iter	best_pop	best_loss	best_acc	avg_fitness
1	16	2.3044	0.1392	0.0998
2	67	2.5505	0.1536	0.099
3	71	2.3022	0.1366	0.1015
4	51	3.1424	0.1436	0.0991
5	62	2.3024	0.1476	0.0984
6	28	2.3014	0.1426	0.0998
7	88	2.301	0.133	0.101
8	99	2.3026	0.1358	0.0995
9	9	2.9492	0.1272	0.0988
10	57	2.6462	0.1342	0.0988
11	79	2.3025	0.1366	0.1001
12	73	2.4542	0.1288	0.0987
13	72	2.5254	0.1366	0.101
14	91	2.3026	0.127	0.0991
15	86	3.3961	0.1358	0.0991
16	6	2.5325	0.134	0.0996
17	23	2.3082	0.144	0.1006
18	9	2.298	0.123	0.0989
19	24	2.7204	0.1334	0.0986
20	3	2.3019	0.1324	0.0992
21	48	2.3019	0.1408	0.1
22	56	2.3207	0.1336	0.101
23	72	2.3004	0.1502	0.1017
24	74	2.2987	0.137	0.1013
25	41	3.9403	0.132	0.0982
26	58	2.2979	0.1512	0.0997
27	68	2.3007	0.1414	0.1006
28	58	3.5378	0.1432	0.0997
29	10	2.3004	0.1368	0.0997
30	5	2.3031	0.1302	0.0995
iter	best_pop	best_loss	best_acc	avg_fitness
1	60	2.3039	0.1336	0.0981
2	31	2.2995	0.1412	0.1002
3	62	2.2995	0.1292	0.1019
4	7	2.303	0.1218	0.0985
5	36	2.3064	0.1356	0.0994
6	30	2.3018	0.1558	0.1001
7	53	2.3085	0.1424	0.1019
8	92	2.3019	0.1414	0.1003
9	40	2.299	0.1448	0.0988
10	86	2.3022	0.1416	0.1013
11	43	2.3018	0.1434	0.0998
12	1	7.1846	0.1442	0.101
13	8	2.3085	0.1384	0.0999
14	58	2.3239	0.1392	0.102
15	80	2.3015	0.1446	0.1008
16	62	2.3014	0.1356	0.1038
17	19	2.3115	0.1304	0.0986
18	60	2.2996	0.1382	0.0979
19	3	2.3223	0.1302	0.099
20	74	2.3015	0.139	0.0995
21	81	2.3033	0.1472	0.1002
22	84	2.3074	0.139	0.0997
23	58	2.3012	0.1364	0.0988
24	13	2.302	0.1384	0.1
25	50	2.3002	0.14	0.1001
26	28	2.3085	0.1406	0.1015
27	42	2.335	0.1346	0.0995
28	23	2.3018	0.1312	0.1015
29	7	2.3024	0.1416	0.101
30	79	5.8111	0.1548	0.0999
