iter	best_pop	best_loss	best_acc	avg_fitness
68	0	2.3047	0.1568	0.1032
69	0	2.3138	0.1594	0.0998
70	1	2.3208	0.1546	0.1004
11	0	2.3026	0.1428	0.1
12	0	2.3019	0.1502	0.1013
13	1	2.302	0.1496	0.1035
14	1	2.3024	0.1442	0.1005
15	1	2.3022	0.1476	0.1042
16	0	2.3026	0.1424	0.098
17	0	2.3022	0.1466	0.0985
18	0	2.3024	0.1444	0.1046
19	0	2.302	0.149	0.1024
20	1	2.3023	0.1506	0.1039
21	1	2.302	0.1454	0.0981
22	1	2.3022	0.1412	0.101
23	1	2.3023	0.1414	0.0997
24	17	2.3032	0.1454	0.1042
25	1	2.3019	0.1538	0.1022
26	0	2.3023	0.15	0.102
27	0	2.3024	0.149	0.1035
28	0	2.302	0.1476	0.0998
29	1	2.3023	0.1478	0.1048
30	0	2.3023	0.1506	0.1033
31	1	2.3022	0.148	0.1014
32	1	2.3023	0.1574	0.104
33	0	2.3009	0.1488	0.1021
34	22	2.3037	0.1508	0.1026
35	1	2.3028	0.1526	0.1037
36	0	2.3013	0.151	0.1032
37	1	2.302	0.1528	0.1004
38	0	2.3038	0.1512	0.102
39	0	2.3007	0.1536	0.0987
40	0	2.303	0.1548	0.1028
41	0	2.3012	0.1482	0.1021
42	0	2.3033	0.1528	0.1023
43	1	2.3039	0.1582	0.1034
44	0	2.3014	0.1546	0.1033
45	0	2.3033	0.1616	0.1049
46	1	2.3033	0.154	0.1007
47	1	2.3038	0.1524	0.1011
48	1	2.3031	0.1604	0.1051
49	0	2.3006	0.1526	0.0989
50	0	2.3022	0.1598	0.1019
51	1	2.3025	0.1558	0.1041
52	0	2.3014	0.152	0.1043
53	0	2.3034	0.155	0.1037
54	1	2.3025	0.1598	0.1005
55	1	2.3032	0.1564	0.1034
56	0	2.3007	0.1612	0.1037
57	0	2.3032	0.1528	0.1013
58	1	2.3035	0.1532	0.0995
59	1	2.3054	0.1518	0.1014
60	0	2.3014	0.1512	0.1013
61	0	2.3025	0.1622	0.1029
62	1	2.3041	0.1504	0.1035
63	1	2.3039	0.1506	0.1025
64	1	2.3032	0.1574	0.1026
65	1	2.3036	0.1566	0.1028
66	1	2.3038	0.1516	0.1012
67	0	2.2997	0.1654	0.1009
68	0	2.3041	0.1524	0.1007
69	1	2.3039	0.1536	0.1008
70	0	2.3021	0.1508	0.1008
1	32	2.2993	0.1496	0.1007
3	0	2.3026	0.147	0.1048
4	0	2.3026	0.1458	0.1032
5	0	2.3026	0.142	0.1036
6	0	2.3001	0.1464	0.099
7	0	2.3018	0.148	0.1037
14	2	2.3077	0.1414	0.1067
15	1	2.3059	0.1416	0.1012
16	1	2.3057	0.1452	0.1036
17	1	2.3081	0.1444	0.1021
18	1	2.3044	0.1512	0.1029
19	0	2.303	0.1434	0.1023
20	1	2.3026	0.1488	0.1009
21	35	2.3026	0.1472	0.0998
22	1	2.3021	0.147	0.101
23	1	2.3021	0.1494	0.0977
24	0	2.3059	0.148	0.1055
25	0	2.3023	0.143	0.0986
26	1	2.3028	0.146	0.1023
27	1	2.303	0.143	0.1032
28	1	2.3034	0.1446	0.1045
29	1	2.3028	0.1464	0.1019
30	1	2.303	0.1434	0.0994
31	1	2.3019	0.149	0.1021
32	1	2.3031	0.1426	0.1025
33	1	2.3024	0.1516	0.1035
34	0	2.3032	0.1416	0.1041
35	0	2.3025	0.1496	0.1029
36	1	2.3031	0.1436	0.0991
37	1	2.3031	0.142	0.1002
38	1	2.3028	0.1438	0.1041
39	1	2.3027	0.1476	0.1017
40	1	2.3025	0.1442	0.1015
41	1	2.303	0.1434	0.1028
42	1	2.3022	0.1484	0.1012
43	7	2.3004	0.1582	0.1022
44	0	2.3007	0.1454	0.1035
45	1	2.3011	0.1464	0.1049
46	1	2.302	0.1466	0.1042
47	1	2.301	0.159	0.1042
48	0	2.3005	0.1444	0.1017
49	1	2.3005	0.1504	0.101
50	0	2.3008	0.1502	0.1039
51	1	2.3017	0.1456	0.1018
52	1	2.3016	0.1476	0.0993
53	1	2.3008	0.1478	0.1048
54	1	2.3004	0.1506	0.1019
55	1	2.3022	0.151	0.1043
56	0	2.3004	0.1486	0.1017
57	15	2.3126	0.1548	0.1046
58	0	2.3011	0.148	0.1032
59	1	2.3007	0.156	0.1046
60	1	2.301	0.1476	0.102
61	1	2.3005	0.163	0.1025
62	0	2.3018	0.1476	0.1025
63	0	2.3734	0.1494	0.0997
64	1	2.3728	0.1524	0.1055
65	1	2.3679	0.1468	0.1019
66	1	2.3578	0.1522	0.1012
67	1	2.3769	0.1446	0.1028
68	1	2.3678	0.1424	0.1
69	22	2.3028	0.1632	0.1058
70	1	2.3026	0.1564	0.1024
1	18	2.302	0.146	0.1018
18	1	2.303	0.147	0.1036
19	1	2.3023	0.1428	0.1012
20	1	2.3033	0.1412	0.0989
21	1	2.3036	0.1364	0.1024
22	1	2.3032	0.1452	0.1024
23	19	2.3013	0.1478	0.1004
24	1	2.3013	0.1514	0.1051
25	0	2.3024	0.1478	0.1
26	0	2.3011	0.1508	0.1033
27	1	2.3009	0.1504	0.1019
28	1	2.301	0.1466	0.0991
29	1	2.3011	0.1458	0.1038
30	1	2.3011	0.155	0.102
31	1	2.3013	0.1502	0.1012
32	1	2.301	0.1532	0.1047
33	0	2.3022	0.1444	0.1041
34	0	2.3014	0.1492	0.1016
35	1	2.3013	0.1538	0.1062
36	1	2.3011	0.1472	0.1054
37	1	2.3008	0.154	0.1017
38	1	2.3013	0.1494	0.1012
39	1	2.3012	0.1514	0.1007
40	1	2.301	0.1434	0.1005
41	1	2.3012	0.1468	0.1025
42	1	2.3012	0.1514	0.1
43	1	2.3009	0.1542	0.1052
44	1	2.3011	0.1456	0.1043
45	1	2.3014	0.1512	0.102
46	0	2.3031	0.1446	0.1013
47	0	2.3005	0.1534	0.1042
48	1	2.3012	0.1536	0.1052
49	0	2.2999	0.1492	0.1021
50	0	2.3015	0.148	0.1036
51	1	2.3013	0.1488	0.1029
52	1	2.3014	0.1484	0.1018
53	1	2.3007	0.1492	0.1011
54	1	2.301	0.1536	0.0987
55	0	2.3005	0.1498	0.1026
56	0	2.3012	0.1552	0.103
57	1	2.3014	0.1468	0.1006
58	36	2.3017	0.166	0.1045
59	1	2.3011	0.1746	0.1002
60	1	2.3003	0.1646	0.1018
61	1	2.3005	0.1614	0.1036
62	1	2.3019	0.171	0.1005
63	1	2.3011	0.1738	0.1015
64	1	2.3017	0.1634	0.1001
65	1	2.3008	0.1694	0.1024
66	1	2.3015	0.159	0.1036
67	1	2.3	0.167	0.1035
68	1	2.3006	0.169	0.1015
69	1	2.3008	0.1692	0.1046
70	1	2.3025	0.1526	0.1018
