val_loss	val_accuracy	loss	accuracy
2.2444	0.4832	0.7110	0.7502
2.2259	0.4773	0.7078	0.7492
2.2395	0.4775	0.7060	0.7494
2.2951	0.4808	0.7064	0.7497
2.2906	0.4777	0.7017	0.7512
2.2780	0.4808	0.7006	0.7524
2.2947	0.4775	0.6986	0.7534
2.3012	0.4741	0.6944	0.7552
2.3082	0.4800	0.6935	0.7542
2.3213	0.4783	0.6871	0.7576
2.3221	0.4751	0.6901	0.7560
2.3267	0.4745	0.6864	0.7571
2.3329	0.4749	0.6865	0.7576
2.3608	0.4820	0.6806	0.7602
2.3696	0.4792	0.6839	0.7585
2.3683	0.4751	0.6769	0.7602
2.3899	0.4725	0.6732	0.7625
2.3972	0.4784	0.6725	0.7628
2.4544	0.4732	0.6686	0.7653
2.4196	0.4760	0.6704	0.7637
2.4522	0.4752	0.6636	0.7662
2.4495	0.4780	0.6653	0.7638
2.4263	0.4720	0.6591	0.7672
2.4643	0.4791	0.6622	0.7665
2.4971	0.4766	0.6537	0.7691
2.4786	0.4753	0.6581	0.7681
2.4563	0.4733	0.6537	0.7699
2.4957	0.4736	0.6495	0.7704
2.4571	0.4717	0.6467	0.7710
2.5378	0.4750	0.6519	0.7694
2.5062	0.4722	0.6499	0.7715
2.5331	0.4779	0.6463	0.7726
2.5689	0.4752	0.6404	0.7740
2.5513	0.4674	0.6443	0.7741
2.5706	0.4693	0.6404	0.7728
2.5479	0.4725	0.6391	0.7749
2.5823	0.4783	0.6355	0.7758
2.5817	0.4708	0.6344	0.7766
2.5669	0.4754	0.6326	0.7773
2.6214	0.4700	0.6341	0.7753
2.6448	0.4704	0.6284	0.7781
2.6383	0.4724	0.6255	0.7799
2.6105	0.4716	0.6249	0.7790
2.6445	0.4676	0.6222	0.7815
2.6786	0.4627	0.6194	0.7833
2.7004	0.4718	0.6253	0.7803
2.6790	0.4704	0.6168	0.7833
2.6339	0.4681	0.6171	0.7826
2.6802	0.4682	0.6175	0.7822
2.6820	0.4638	0.6099	0.7857
2.7180	0.4706	0.6159	0.7829
2.6845	0.4709	0.6089	0.7849
2.7112	0.4769	0.6088	0.7857
2.7470	0.4723	0.6064	0.7858
2.7212	0.4756	0.6026	0.7868
2.7624	0.4694	0.6027	0.7879
2.7856	0.4720	0.6037	0.7874
2.7910	0.4743	0.6006	0.7888
2.7532	0.4729	0.5967	0.7908
2.7691	0.4695	0.5955	0.7893
2.7716	0.4690	0.5958	0.7903
2.8336	0.4628	0.5899	0.7921
2.8359	0.4663	0.5894	0.7924
2.8129	0.4670	0.5973	0.7877
2.8537	0.4675	0.5846	0.7946
2.8424	0.4720	0.5941	0.7923
2.8485	0.4695	0.5868	0.7933
2.8436	0.4658	0.5840	0.7935
2.9191	0.4689	0.5799	0.7961
2.8943	0.4686	0.5833	0.7946
2.8824	0.4709	0.5774	0.7954
2.8957	0.4660	0.5746	0.7984
2.8976	0.4686	0.5771	0.7960
2.9158	0.4682	0.5722	0.7980
2.9464	0.4577	0.5763	0.7980
2.9057	0.4651	0.5701	0.7987
2.9800	0.4619	0.5678	0.8002
2.9529	0.4637	0.5639	0.8003
2.9760	0.4619	0.5728	0.7989
2.9444	0.4661	0.5651	0.8004
2.9953	0.4647	0.5616	0.8026
2.9976	0.4666	0.5655	0.8026
3.0246	0.4587	0.5621	0.8034
3.0585	0.4609	0.5600	0.8017
2.9914	0.4669	0.5589	0.8039
3.0624	0.4633	0.5611	0.8017
3.0007	0.4629	0.5548	0.8070
3.0590	0.4642	0.5502	0.8062
3.0880	0.4581	0.5519	0.8050
3.0990	0.4633	0.5525	0.8051
3.1260	0.4600	0.5502	0.8051
3.0599	0.4674	0.5533	0.8050
3.0779	0.4650	0.5436	0.8099
3.1380	0.4662	0.5487	0.8078
3.1414	0.4662	0.5450	0.8092
3.1098	0.4717	0.5429	0.8098
3.1443	0.4656	0.5396	0.8113
3.1322	0.4616	0.5402	0.8105
3.1219	0.4631	0.5399	0.8100
3.1755	0.4646	0.5412	0.8087
3.2018	0.4668	0.5373	0.8106
3.1915	0.4615	0.5336	0.8116
3.1890	0.4611	0.5324	0.8132
3.2026	0.4617	0.5297	0.8138
3.1883	0.4597	0.5261	0.8141
