val_loss	val_accuracy	loss	accuracy
1.6490	0.5157	0.8067	0.7155
1.6799	0.5107	0.8021	0.7168
1.6732	0.5069	0.7993	0.7170
1.6704	0.5172	0.7981	0.7159
1.6495	0.5150	0.7967	0.7176
1.7063	0.5112	0.7893	0.7208
1.6767	0.5079	0.7874	0.7205
1.6865	0.5088	0.7850	0.7210
1.6709	0.5160	0.7818	0.7213
1.7664	0.4933	0.7799	0.7231
1.7099	0.5090	0.7771	0.7218
1.7028	0.5068	0.7742	0.7267
1.7357	0.5030	0.7703	0.7274
1.7350	0.5141	0.7688	0.7266
1.7331	0.5069	0.7633	0.7302
1.7425	0.5093	0.7617	0.7294
1.7498	0.5150	0.7594	0.7307
1.7907	0.5014	0.7560	0.7295
1.7722	0.5024	0.7544	0.7327
1.7559	0.5064	0.7509	0.7331
1.7564	0.5091	0.7474	0.7349
1.7678	0.5026	0.7433	0.7378
1.7838	0.5114	0.7424	0.7352
1.7843	0.5119	0.7403	0.7381
1.7774	0.5057	0.7344	0.7403
1.7953	0.5024	0.7332	0.7406
1.8073	0.5068	0.7291	0.7419
1.8225	0.5035	0.7278	0.7420
1.8364	0.5121	0.7250	0.7423
1.8360	0.5039	0.7210	0.7429
1.8490	0.5024	0.7180	0.7462
1.9091	0.4935	0.7158	0.7458
1.8317	0.5101	0.7131	0.7469
1.8310	0.5068	0.7093	0.7498
1.8890	0.4898	0.7097	0.7473
1.8367	0.5117	0.7039	0.7497
1.8410	0.5103	0.7030	0.7524
1.8636	0.5027	0.6984	0.7522
1.8511	0.5089	0.6980	0.7522
1.8595	0.5024	0.6942	0.7531
1.9007	0.4992	0.6887	0.7561
1.9032	0.4912	0.6886	0.7546
1.9044	0.5107	0.6880	0.7556
1.9030	0.5094	0.6838	0.7589
1.8913	0.5028	0.6810	0.7568
1.9357	0.5011	0.6753	0.7601
1.9541	0.5039	0.6739	0.7588
1.9328	0.5002	0.6732	0.7617
1.9555	0.5031	0.6691	0.7619
1.9572	0.5064	0.6669	0.7630
1.9739	0.5047	0.6669	0.7636
1.9663	0.4959	0.6628	0.7653
1.9638	0.4979	0.6601	0.7649
1.9751	0.5045	0.6563	0.7661
1.9611	0.5005	0.6543	0.7679
2.0013	0.4979	0.6481	0.7701
1.9975	0.5041	0.6466	0.7711
1.9999	0.5059	0.6449	0.7716
2.0242	0.5008	0.6436	0.7694
2.0259	0.4940	0.6413	0.7723
1.9978	0.5011	0.6385	0.7738
2.0737	0.4875	0.6358	0.7732
2.0640	0.4938	0.6341	0.7751
2.0609	0.4999	0.6315	0.7779
2.0408	0.4996	0.6268	0.7765
2.0782	0.4969	0.6265	0.7775
2.1290	0.4980	0.6204	0.7787
2.1043	0.5029	0.6212	0.7779
2.0912	0.5034	0.6155	0.7814
2.1251	0.4930	0.6154	0.7808
2.1475	0.4983	0.6141	0.7817
2.1387	0.4977	0.6116	0.7830
2.1874	0.4973	0.6077	0.7839
2.1430	0.5083	0.6036	0.7862
2.1380	0.5012	0.6015	0.7861
2.1679	0.4997	0.5991	0.7871
2.1911	0.4961	0.5964	0.7879
2.1947	0.4960	0.5961	0.7878
2.2153	0.4943	0.5944	0.7885
2.2202	0.4939	0.5884	0.7907
2.2348	0.4960	0.5889	0.7915
2.2454	0.4953	0.5859	0.7909
2.2606	0.4935	0.5886	0.7923
2.2694	0.4876	0.5838	0.7927
2.2402	0.4950	0.5800	0.7953
2.2428	0.5018	0.5772	0.7957
2.2753	0.4947	0.5758	0.7965
2.2467	0.4934	0.5744	0.7947
2.2447	0.4979	0.5689	0.7971
