best_pop	best_loss	best_acc	avg_fitness
1	2.3023	0.1478	0.1048
0	2.3023	0.1506	0.1033
1	2.3022	0.148	0.1014
1	2.3023	0.1574	0.104
0	2.3009	0.1488	0.1021
22	2.3037	0.1508	0.1026
1	2.3028	0.1526	0.1037
0	2.3013	0.151	0.1032
1	2.302	0.1528	0.1004
0	2.3038	0.1512	0.102
0	2.3007	0.1536	0.0987
0	2.303	0.1548	0.1028
0	2.3012	0.1482	0.1021
0	2.3033	0.1528	0.1023
1	2.3039	0.1582	0.1034
0	2.3014	0.1546	0.1033
0	2.3033	0.1616	0.1049
1	2.3033	0.154	0.1007
1	2.3038	0.1524	0.1011
1	2.3031	0.1604	0.1051
0	2.3006	0.1526	0.0989
0	2.3022	0.1598	0.1019
1	2.3025	0.1558	0.1041
0	2.3014	0.152	0.1043
0	2.3034	0.155	0.1037
1	2.3025	0.1598	0.1005
1	2.3032	0.1564	0.1034
0	2.3007	0.1612	0.1037
0	2.3032	0.1528	0.1013
1	2.3035	0.1532	0.0995
1	2.3054	0.1518	0.1014
0	2.3014	0.1512	0.1013
0	2.3025	0.1622	0.1029
1	2.3041	0.1504	0.1035
1	2.3039	0.1506	0.1025
1	2.3032	0.1574	0.1026
1	2.3036	0.1566	0.1028
1	2.3038	0.1516	0.1012
0	2.2997	0.1654	0.1009
0	2.3041	0.1524	0.1007
1	2.3039	0.1536	0.1008
0	2.3021	0.1508	0.1008
32	2.2993	0.1496	0.1007
0	2.3026	0.147	0.1048
0	2.3026	0.1458	0.1032
0	2.3026	0.142	0.1036
0	2.3001	0.1464	0.099
0	2.3018	0.148	0.1037
2	2.3077	0.1414	0.1067
1	2.3059	0.1416	0.1012
1	2.3057	0.1452	0.1036
1	2.3081	0.1444	0.1021
1	2.3044	0.1512	0.1029
0	2.303	0.1434	0.1023
1	2.3026	0.1488	0.1009
35	2.3026	0.1472	0.0998
1	2.3021	0.147	0.101
1	2.3021	0.1494	0.0977
0	2.3059	0.148	0.1055
0	2.3023	0.143	0.0986
1	2.3028	0.146	0.1023
1	2.303	0.143	0.1032
1	2.3034	0.1446	0.1045
1	2.3028	0.1464	0.1019
1	2.303	0.1434	0.0994
1	2.3019	0.149	0.1021
1	2.3031	0.1426	0.1025
1	2.3024	0.1516	0.1035
0	2.3032	0.1416	0.1041
0	2.3025	0.1496	0.1029
1	2.3031	0.1436	0.0991
1	2.3031	0.142	0.1002
1	2.3028	0.1438	0.1041
1	2.3027	0.1476	0.1017
1	2.3025	0.1442	0.1015
1	2.303	0.1434	0.1028
1	2.3022	0.1484	0.1012
7	2.3004	0.1582	0.1022
0	2.3007	0.1454	0.1035
1	2.3011	0.1464	0.1049
1	2.302	0.1466	0.1042
1	2.301	0.159	0.1042
0	2.3005	0.1444	0.1017
1	2.3005	0.1504	0.101
0	2.3008	0.1502	0.1039
1	2.3017	0.1456	0.1018
1	2.3016	0.1476	0.0993
1	2.3008	0.1478	0.1048
1	2.3004	0.1506	0.1019
1	2.3022	0.151	0.1043
0	2.3004	0.1486	0.1017
15	2.3126	0.1548	0.1046
0	2.3011	0.148	0.1032
1	2.3007	0.156	0.1046
1	2.301	0.1476	0.102
1	2.3005	0.163	0.1025
0	2.3018	0.1476	0.1025
0	2.3734	0.1494	0.0997
1	2.3728	0.1524	0.1055
1	2.3679	0.1468	0.1019
1	2.3578	0.1522	0.1012
1	2.3769	0.1446	0.1028
1	2.3678	0.1424	0.1
22	2.3028	0.1632	0.1058
1	2.3026	0.1564	0.1024
18	2.302	0.146	0.1018
1	2.303	0.147	0.1036
1	2.3023	0.1428	0.1012
1	2.3033	0.1412	0.0989
1	2.3036	0.1364	0.1024
1	2.3032	0.1452	0.1024
19	2.3013	0.1478	0.1004
1	2.3013	0.1514	0.1051
0	2.3024	0.1478	0.1
0	2.3011	0.1508	0.1033
1	2.3009	0.1504	0.1019
1	2.301	0.1466	0.0991
1	2.3011	0.1458	0.1038
1	2.3011	0.155	0.102
1	2.3013	0.1502	0.1012
1	2.301	0.1532	0.1047
0	2.3022	0.1444	0.1041
0	2.3014	0.1492	0.1016
1	2.3013	0.1538	0.1062
1	2.3011	0.1472	0.1054
1	2.3008	0.154	0.1017
1	2.3013	0.1494	0.1012
1	2.3012	0.1514	0.1007
1	2.301	0.1434	0.1005
1	2.3012	0.1468	0.1025
1	2.3012	0.1514	0.1
1	2.3009	0.1542	0.1052
1	2.3011	0.1456	0.1043
1	2.3014	0.1512	0.102
0	2.3031	0.1446	0.1013
0	2.3005	0.1534	0.1042
1	2.3012	0.1536	0.1052
0	2.2999	0.1492	0.1021
0	2.3015	0.148	0.1036
1	2.3013	0.1488	0.1029
1	2.3014	0.1484	0.1018
1	2.3007	0.1492	0.1011
1	2.301	0.1536	0.0987
0	2.3005	0.1498	0.1026
0	2.3012	0.1552	0.103
1	2.3014	0.1468	0.1006
36	2.3017	0.166	0.1045
1	2.3011	0.1746	0.1002
1	2.3003	0.1646	0.1018
1	2.3005	0.1614	0.1036
1	2.3019	0.171	0.1005
1	2.3011	0.1738	0.1015
1	2.3017	0.1634	0.1001
1	2.3008	0.1694	0.1024
1	2.3015	0.159	0.1036
1	2.3	0.167	0.1035
1	2.3006	0.169	0.1015
1	2.3008	0.1692	0.1046
1	2.3025	0.1526	0.1018
