loss	accuracy
2.3018	0.1568
2.3022	0.1638
2.3022	0.164
2.3019	0.1594
2.3007	0.1558
2.3004	0.1588
2.3013	0.162
2.301	0.168
2.3003	0.1632
2.3018	0.1572
2.3044	0.1564
2.2998	0.167
2.3006	0.1654
2.3018	0.1636
2.3003	0.1592
2.3019	0.1596
2.3008	0.1582
2.3008	0.1642
2.3004	0.166
2.3008	0.1618
2.3033	0.1636
2.3038	0.1632
2.3005	0.1612
2.3014	0.1584
2.3007	0.1508
2.3008	0.1612
